Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Pernot Clara,1166191,Perpignan,CL S1F,X,10,9,8,7,7,10,9,9,8,7,5,10,10,10,9,8,7,9,9,9,8,4,4,10,9,9,8,7,6,X,9,8,8,7,7
Francois Charlotte,0762288,Monchy Au Bois,CL U18F,10,9,9,7,3,M,9,9,9,8,6,M,9,9,8,8,7,4,X,9,8,8,8,7,9,9,9,7,5,5,10,9,8,8,7,7
Francois Charlotte,0762288,Monchy Au Bois,CL U18F,10,10,9,8,7,5,X,9,8,8,7,7,9,8,8,8,7,7,10,10,9,8,8,7,10,9,9,8,8,6,9,8,6,5,5,3
Constantin Mylene,1285122,Fontenay Le Comte,CL S2F,X,9,9,8,7,4,8,8,7,7,6,5,10,9,9,9,8,7,10,7,7,7,7,6,8,8,8,7,6,5,9,9,8,8,8,6
Constantin Mylene,1285122,Fontenay Le Comte,CL S2F,10,9,9,9,8,6,9,9,9,9,7,5,9,8,8,7,6,5,9,9,7,6,6,6,X,9,9,7,7,6,9,8,8,7,6,5
Chesnais Claire,1166191,Perpignan,CL S1F,8,8,8,6,3,M,10,9,9,9,8,7,9,8,8,7,6,5,9,9,9,7,7,5,9,8,8,8,7,6,10,9,9,7,6,4
Chesnais Claire,1166191,Perpignan,CL S1F,10,9,8,8,7,3,9,9,9,7,1,M,9,9,8,8,7,6,9,9,8,7,6,5,10,9,8,7,6,6,9,8,8,8,7,6
Randriantsara Lai-Tsan,3597022,Saint Denis De La Reunion,CL U21F,10,9,8,8,8,7,9,8,8,8,8,7,10,9,9,9,8,8,X,9,9,8,7,7,X,X,9,9,9,8,X,10,10,10,8,8
Randriantsara Lai-Tsan,3597022,Saint Denis De La Reunion,CL U21F,10,9,9,9,9,8,10,9,9,9,9,9,10,10,9,8,8,8,X,9,9,9,8,7,X,X,10,10,10,9,X,10,10,9,9,8
Covillers Emma,1285122,Fontenay Le Comte,CL S1F,8,7,5,5,5,4,9,9,8,8,7,6,10,9,8,7,6,5,10,8,8,6,6,3,X,10,8,7,6,4,9,8,8,8,5,5
Covillers Emma,1285122,Fontenay Le Comte,CL S1F,8,8,8,8,7,7,10,8,8,7,6,3,9,6,5,4,2,1,9,9,8,8,7,7,10,9,8,7,7,5,9,6,6,6,3,2
Alart Margaux,1166191,Perpignan,CL S1F,10,9,9,8,7,7,9,9,8,6,6,5,8,8,8,7,6,6,9,8,8,7,7,6,X,9,9,8,6,6,9,9,8,7,7,6
Alart Margaux,1166191,Perpignan,CL S1F,9,9,8,7,7,6,10,8,8,8,6,6,9,9,8,8,7,5,9,9,8,8,8,8,9,8,8,8,8,8,X,10,9,8,8,7
Cordeau Amelie,0174260,Annemasse,CL S1F,X,10,9,9,9,8,X,X,10,9,9,9,10,X,10,9,9,9,10,10,10,9,9,9,10,10,9,9,9,8,X,10,10,9,9,8
Cordeau Amelie,0174260,Annemasse,CL S1F,X,10,10,9,9,8,X,X,10,7,9,9,10,9,9,9,9,8,10,9,9,8,8,10,X,10,9,9,9,7,X,X,10,10,9,9
Renard Garance,0329040,Brest,CL S1F,8,8,7,7,6,5,9,9,9,8,7,7,9,9,8,7,6,2,9,9,8,7,6,5,9,8,8,8,7,4,9,7,7,7,6,5
Renard Garance,0329040,Brest,CL S1F,8,8,7,7,7,6,9,7,7,7,6,5,10,9,10,7,6,5,9,9,9,9,8,8,X,10,9,8,8,6,10,7,8,7,6,6
Thieux Raphaelle,0875017,Paris Xiii Usmt,CL S1F,8,7,6,5,5,M,9,9,8,8,8,6,9,9,9,7,7,6,9,9,8,7,5,5,9,9,8,7,6,3,9,8,7,7,5,5
Thieux Raphaelle,0875017,Paris Xiii Usmt,CL S1F,10,9,9,9,7,7,9,9,9,8,7,5,9,9,9,8,7,7,8,8,7,7,6,6,X,10,10,8,7,7,9,8,8,8,8,7
Yahyaoui Lilia,0329053,Plourin Les Morlaix,CL U21F,8,8,8,7,6,3,9,9,9,7,6,4,X,9,8,7,5,2,9,9,8,8,7,7,8,8,7,6,6,4,10,8,8,7,6,6
Yahyaoui Lilia,0329053,Plourin Les Morlaix,CL U21F,9,7,7,7,7,4,10,9,7,7,4,2,10,8,7,7,6,3,9,7,7,6,6,4,10,9,8,8,7,7,X,8,6,6,5,3
Jabrane Salma,1313090,St Martin De Crau,CL S1F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabrane Salma,1313090,St Martin De Crau,CL S1F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
