Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Garnier Adeline,0271076,Macon,CO S2F,X,10,9,8,8,7,10,9,7,7,7,6,9,9,9,9,8,M,10,9,9,9,8,8,X,9,8,8,8,7,X,10,9,9,8,7
Garnier Adeline,0271076,Macon,CO S2F,10,10,9,9,9,8,X,9,9,9,8,8,10,10,9,9,9,7,9,9,9,8,8,7,X,10,10,9,9,8,X,10,9,9,8,8
Ferrand Aurelie,1244009,Carquefou,CO S2F,10,9,9,9,7,6,8,8,7,7,7,6,10,9,9,8,8,M,10,9,9,8,8,8,10,8,8,8,8,8,X,9,8,8,8,7
Ferrand Aurelie,1244009,Carquefou,CO S2F,X,9,9,8,7,7,8,8,7,7,7,5,10,9,8,8,6,5,9,9,9,9,8,5,X,10,9,9,7,6,9,9,8,8,7,7
Quinto Julie,0914003,Caen,CO S2F,10,10,10,9,8,8,10,9,9,9,8,6,10,10,9,9,8,7,X,10,10,9,8,8,X,10,9,8,8,8,10,10,9,9,9,9
Quinto Julie,0914003,Caen,CO S2F,10,10,10,9,8,7,9,9,9,8,7,7,X,10,10,9,8,8,9,9,9,9,9,9,10,9,9,8,7,M,10,9,9,7,7,7
Jacques Amy,0271076,Macon,CO U18F,X,X,10,9,9,8,10,9,9,9,8,7,X,9,9,9,9,9,10,9,9,9,8,7,10,9,9,9,9,8,10,10,10,9,9,8
Jacques Amy,0271076,Macon,CO U18F,10,9,8,8,8,8,X,9,9,8,7,7,X,9,9,9,9,8,X,9,9,9,8,8,9,9,9,9,8,8,X,10,9,9,9,8
Jobert Alexandra,1244009,Carquefou,CO S2F,X,10,10,9,9,9,X,10,10,9,8,8,10,10,9,9,9,8,10,10,9,9,9,9,X,X,10,10,9,9,X,X,10,10,9,9
Jobert Alexandra,1244009,Carquefou,CO S2F,10,10,9,9,8,8,X,9,9,9,8,8,10,10,9,9,9,8,10,10,9,9,9,8,X,X,9,9,9,9,10,10,10,9,9,8
Chambraud Alyssia,0878111,Acheres,CO S1F,X,X,X,9,9,9,10,10,9,9,9,9,X,10,10,10,9,8,X,10,10,10,9,9,10,10,9,9,9,9,X,X,10,9,9,9
Chambraud Alyssia,0878111,Acheres,CO S1F,X,10,9,9,9,8,X,10,10,9,9,8,X,X,X,10,9,9,X,10,10,10,10,9,10,10,9,9,9,9,X,X,10,10,10,9
Montoya Estelle,0271076,Macon,CO S1F,9,9,9,9,8,7,9,9,9,9,7,7,X,10,9,8,6,5,10,9,9,8,8,7,X,10,9,6,5,5,10,9,9,9,9,7
